Galaxy	 sb 	 rb
UGC03546	8.69661252336958e-16	2.196899012506398e+18
UGC05764	0	0
DDO168	0	0
NGC5055	0	0
F565-V2	0	0
UGC04499	0	0
NGC4088	0	0
NGC4183	0	0
NGC3949	0	0
NGC6674	9.999999999975746e-15	8.19376834007924e+17
NGC5033	1.0299264214595591e-17	9.487846563850336e+18
NGC3953	0	0
NGC6946	1.930136065368169e-16	1.9198709429377976e+18
UGC09037	0	0
NGC3741	0	0
NGC2976	0	0
NGC0024	0	0
UGC05716	0	0
NGC4085	0	0
UGC07524	0	0
NGC6015	0	0
UGC08490	0	0
NGC3877	0	0
NGC2841	9.999999999999959e-15	1.1388107917680481e+18
NGC7793	0	0
UGC07125	0	0
NGC7331	9.999999999999959e-15	7.184838713776988e+17
UGC03580	2.761095197692736e-19	1.7848929186769533e+19
UGC06930	0	0
UGC07399	0	0
UGC12506	0	0
UGC06446	0	0
UGC08550	0	0
UGC07690	0	0
NGC4010	0	0
ESO563-G021	0	0
NGC4051	0	0
F571-V1	0	0
DDO064	0	0
UGC08699	3.1933992829686245e-18	1.2450187571701234e+19
NGC4138	9.999999999999918e-15	6.472104058478072e+17
ESO444-G084	0	0
NGC3769	0	0
NGC7814	5.152326017525296e-18	1.5148332653721303e+19
UGC06667	0	0
NGC6195	1.3503164452758815e-19	6.964347346766077e+19
NGC3198	0	0
UGC07261	0	0
NGC5585	0	0
NGC4013	2.715278357685272e-16	2.6288159705168236e+18
UGC06983	0	0
UGC07603	0	0
NGC3972	0	0
UGC05414	0	0
NGC0289	0	0
NGC2915	0	0
NGC0300	0	0
UGC00731	0	0
UGC12732	0	0
NGC4157	9.999999999328796e-15	4.006659713137367e+17
UGC09133	7.432953445297602e-19	3.5704050815888593e+19
UGC06923	0	0
NGC4100	0	0
NGC3109	0	0
UGC07089	0	0
DDO170	0	0
UGC09992	0	0
NGC4068	0	0
F571-8	0	0
UGC06917	0	0
NGC4559	0	0
NGC0100	0	0
UGC08286	0	0
UGC04483	0	0
NGC0891	3.898617095816335e-17	5.468675010995541e+18
NGC5985	9.999999999999959e-15	6.867752886413695e+17
NGC3521	0	0
ESO116-G012	0	0
IC2574	0	0
UGC02885	2.8836720128858978e-18	1.8025014834916817e+19
UGC06787	2.5742044883514043e-18	1.9539755510817632e+19
F574-1	0	0
UGC06614	1.430753402707285e-18	2.5442169951593693e+19
NGC0055	0	0
KK98-251	0	0
UGC05829	0	0
UGC08837	0	0
UGC07577	0	0
UGCA444	0	0
UGC05005	0	0
UGC06818	0	0
UGC05986	0	0
UGC07151	0	0
UGC05750	0	0
UGC00191	0	0
F583-4	0	0
UGC11557	0	0
NGC3893	0	0
UGC00128	0	0
UGC00891	0	0
UGC05918	0	0
IC4202	9.247786952807576e-20	5.6053277309376864e+19
DDO154	0	0
NGC3992	0	0
UGC07559	0	0
UGC07866	0	0
NGC2955	1.1139853688092856e-19	6.7843230854727655e+19
NGC0801	0	0
UGC03205	2.322584196389639e-19	3.1878068315027333e+19
UGC02953	1.2367198991370984e-18	2.2092428933767148e+19
UGC11914	7.411456445837217e-19	2.842122566855973e+19
UGC10310	0	0
UGC02259	0	0
UGC11455	0	0
UGC12632	0	0
NGC1090	0	0
CamB	0	0
UGC05721	0	0
UGC02487	1.5524520712637618e-17	1.3050532554006936e+19
F568-3	0	0
UGC11820	0	0
DDO161	0	0
NGC2998	0	0
UGC04278	0	0
UGCA442	0	0
NGC2903	0	0
UGC06399	0	0
NGC5371	0	0
UGC06786	8.670828421159126e-19	2.069524824929003e+19
NGC0247	0	0
UGC05253	5.754478981317677e-19	3.68458399654549e+19
NGC6503	0	0
NGC5005	4.24096298389646e-18	1.2574828859473437e+19
F568-V1	0	0
NGC4217	1.0369035569650848e-19	7.021193892582736e+19
NGC2683	9.999999999999959e-15	5.560093021071779e+17
UGC07323	0	0
UGC02916	1.6621809880877962e-19	6.0423199473144455e+19
