# Name Dist(Mpc) RA(deg) DEC(deg)
CamB 3.36 73.27958 67.09917
DDO064 6.8 147.59333 31.48778
DDO154 4.04 193.52187 27.14964
DDO161 7.5 195.81975 -17.42303
DDO168 4.25 198.61646 45.91915
DDO170 15.4 198.97461 25.43546
ESO079-G014 28.7 15.71438 -65.60997
ESO116-G012 13.0 48.26979 -57.35722
ESO444-G084 4.83 204.33329 -28.045
ESO563-G021 60.8 131.82075 -20.03569
F565-V2 51.8 144.40207431 21.77076624
F568-3 82.4 156.74476996 22.22574411
F568-V1 80.6 161.26064783 22.05914401
F571-8 53.3 173.47738495 19.35501019
F571-V1 80.1 171.57685502 18.83154101
F574-1 96.8 189.53056426 22.31412053
F583-1 35.4 239.37114389 20.66287457
F583-4 53.3 238.05196031 18.78433765
IC2574 3.91 157.09783 68.41214
IC4202 100.4 197.13158 24.70077
KK98-251 6.8 307.63708 60.35472
NGC0024 7.3 2.48558 -24.96314
NGC0055 2.11 3.72333 -39.19664
NGC0100 13.5 6.01183 16.48639
NGC0247 3.7 11.78562 -20.76039
NGC0289 20.8 13.1765 -31.20583
NGC0300 2.08 13.72283 -37.68439
NGC0801 80.7 30.93679 38.25872
NGC0891 9.91 35.63922 42.34915
NGC1003 11.4 39.82037 40.87231
NGC1090 37.0 41.6414 -0.24716
NGC2403 3.16 114.21417 65.60256
NGC2683 9.81 133.1722 33.42174
NGC2841 14.1 140.51098 50.97652
NGC2903 6.6 143.04212 21.50083
NGC2915 4.06 141.54804 -76.62633
NGC2955 97.9 145.31924 35.88227
NGC2976 3.58 146.81442 67.91639
NGC2998 68.1 147.1818 44.08144
NGC3109 1.33 150.77867 -26.15958
NGC3198 13.8 154.97897 45.54962
NGC3521 7.7 166.45242 -0.03586
NGC3726 18.0 173.33801 47.02921
NGC3741 3.21 174.02575 45.28363
NGC3769 18.0 174.43379 47.89308
NGC3877 18.0 176.53208 47.49435
NGC3893 18.0 177.15912 48.71083
NGC3917 18.0 177.6893 51.82466
NGC3949 18.0 178.42384 47.85871
NGC3953 18.0 178.45382 52.32677
NGC3972 18.0 178.93787 55.32074
NGC3992 23.7 179.39992 53.37453
NGC4010 18.0 179.65787 47.2615
NGC4013 18.0 179.63075 43.94658
NGC4051 18.0 180.79006 44.53133
NGC4068 4.37 181.00324 52.58827
NGC4085 18.0 181.34463 50.35295
NGC4088 18.0 181.39246 50.53903
NGC4100 18.0 181.53522 49.58268
NGC4138 18.0 182.37408 43.68531
NGC4157 18.0 182.76821 50.48467
NGC4183 18.0 183.32033 43.69858
NGC4217 18.0 183.96208 47.09178
NGC4559 9.0 188.99019 27.95999
NGC5005 16.9 197.7343 37.05921
NGC5033 15.7 198.36444 36.59394
NGC5055 9.9 198.95554 42.02928
NGC5371 39.7 208.91643 40.46176
NGC5585 7.06 214.95083 56.72906
NGC5907 17.3 228.97404 56.32877
NGC5985 39.7 234.90454 59.33194
NGC6015 17.0 237.85512 62.31003
NGC6195 127.8 249.1357 39.02789
NGC6503 6.26 267.36013 70.14437
NGC6674 51.2 279.64112 25.37514
NGC6946 5.52 308.71801 60.15391
NGC7331 14.7 339.26672 34.41552
NGC7793 3.61 359.45763 -32.59103
NGC7814 14.4 0.81204 16.14542
UGC00128 64.5 3.46208 35.99417
UGC00191 17.1 5.02167 10.88
UGC00731 12.5 17.68325 49.60219
UGC00891 10.2 20.32875 12.41194
UGC01281 5.27 27.38333 32.58972
UGC02259 10.5 41.98087 37.5385
UGC02487 69.1 45.42654 35.20574
UGC02885 80.6 58.268 35.59194
UGC02916 65.4 60.64108 71.70589
UGC02953 16.5 61.94546 69.81244
UGC03205 50.0 74.062 30.05236
UGC03546 28.7 102.53607 60.84581
UGC03580 20.7 103.87858 69.56306
UGC04278 9.51 123.49546 45.74214
UGC04325 9.6 124.83555 50.00963
