# Rad,Vobs,errV,Vgas,Vdisk,Vbul,SBdisk,SBbul
# kpc,km/s,km/s,km/s,km/s,km/s,L/pc^2,L/pc^2
0.87,24.3,3.9,0,35.64,0,188.65,0
1.74,49.6,3.9,0,47.54,0,151.56,0
2.61,73.6,5.2,0,60.47,0,133.11,0
3.5,101,4.4,7.38,73.72,0,113.1,0
4.37,107,3.5,13.36,85.03,0,102.47,0
5.24,115,3.5,14.01,96.27,0,83.86,0
6.11,123,3.9,12.18,104.34,0,66.19,0
6.98,130,3.9,18.32,107.5,0,47.17,0
7.85,134,3.5,21.34,109.28,0,36.52,0
8.72,136,3.9,21.77,108.62,0,26.62,0
9.6,137,4,27.37,107.75,0,19.83,0
10.47,136,3.5,29.53,106.05,0,13.97,0
11.35,137,3.5,32.11,103.37,0,9.49,0
12.19,137,3.5,32.87,100.58,0,6.45,0
13.12,137,5,30.82,96.92,0,3.54,0
13.94,138,5,32.01,93.04,0,1.82,0
14.86,137,7.5,31.79,88.38,0,0.79,0
