Galaxy	Md	Rd_fit
UGC03546	4.28638001305367	7.055247786993426e+19
UGC05764	0.03167933870927417	2.7933853136443593e+19
DDO168	0.04998767095377364	3.736400054277554e+19
NGC5055	7.931095729263137	7.185733248499658e+19
F565-V2	0.03004013048715883	8.310321235812683e+19
UGC04499	0.20192777372730106	4.791401373486649e+19
NGC4088	3.4381348090347323	1.0121893750534604e+20
NGC4183	0.3460851478997137	1.0022577818622129e+20
NGC3949	4.521379883483615	4.919216418199867e+19
NGC6674	1.8348238832072787	1.827201384324467e+20
NGC5033	4.664874692963184	7.147387446202641e+19
NGC3953	2.853727256560689	1.3021393926412938e+20
NGC6946	2.8537274268534576	8.2606459336767e+19
UGC09037	1.5083003620313284	1.0955082427162444e+20
NGC3741	0.05550322457229816	1.37621220134515e+19
NGC2976	0.8634774547777626	7.2059432507480695e+19
NGC0024	0.6944106924650963	4.30074703553198e+19
UGC05716	1.8567936201618507	1.4749538839528739e+19
NGC4085	2.652328381459337	5.417952848942426e+19
UGC07524	0.24703826159454953	4.488787600863432e+19
NGC6015	1.5942074237278572	7.954413647636965e+19
UGC08490	0.5956940368349214	2.2807730352548815e+19
NGC3877	1.675356874933867	1.3947197115695365e+20
NGC2841	2.469672751215747	1.3688902967212176e+20
NGC7793	1.5030647623336155	3.7563471878675595e+19
UGC07125	0.3256590061815751	4.650307700608986e+19
NGC7331	10.311509478425485	8.176745246071416e+19
UGC03580	1.0554970078156831	5.250019508256732e+19
UGC06930	2.131884756107	2.826026675562244e+19
UGC07399	0.9925754110367891	1.5454548339284224e+19
UGC12506	0.7893174201464971	2.3222868320361795e+20
UGC06446	0.17153266694158886	4.130696997521743e+19
UGC08550	0.05873210167645246	5.788731142877807e+19
UGC07690	0.9449745913835866	1.643809516127723e+19
NGC4010	0.667158922210937	9.187223670115038e+19
ESO563-G021	2.1034285048214008	2.210928446491404e+20
NGC4051	2.2066312598782907	9.637632886643263e+19
F571-V1	0.4413298497694372	2.9968795034807874e+19
DDO064	0.06800090632479068	3.240109431400388e+19
UGC08699	2.026277055608428	6.8796798298722664e+19
NGC4138	5.3948106532251305	4.500173026896222e+19
ESO444-G084	0.4293036082297543	7.343912643949464e+18
NGC3769	2.5597171441977826	4.610860047995661e+19
NGC7814	1.0871829199163943	8.291860259098085e+19
UGC06667	0.33171495098330184	1.2984208790614854e+19
NGC6195	1.2144857114555203	2.684530233020079e+20
NGC3198	1.0533486223788928	1.0571242888526796e+20
UGC07261	2.131884756107	1.3148233951113083e+19
NGC5585	0.5742702995226494	3.935684618593171e+19
NGC4013	3.2950925958733515	7.865625733339469e+19
UGC06983	1.0489715275639424	3.568072006494758e+19
UGC07603	0.833228232880282	1.0960940927206859e+19
NGC3972	1.8739754573450873	4.094993739867193e+19
UGC05414	0.8255888433873828	1.3230055012389245e+19
NGC0289	5.232854654258347	6.2826336171568e+19
NGC2915	1.3388125931575194	1.1938570523327699e+19
NGC0300	0.9136162521490118	2.804588777581776e+19
UGC00731	0.3347836584388853	1.0549308278260881e+19
UGC12732	0.12159840797421347	6.51495027761272e+19
NGC4157	3.7544006103088705	9.369550895987239e+19
UGC09133	2.434098972370974	1.566648401220354e+20
UGC06923	0.6239110364360566	3.506216336033061e+19
NGC4100	2.0591068886339805	9.673007261852878e+19
NGC3109	0.3053269914333149	2.1630599846254223e+22
UGC07089	0.4024978532467404	4.79331458146543e+19
DDO170	0.03637118142216766	5.461042181686552e+21
UGC09992	0.12995661033881303	2.823154207718103e+19
NGC4068	0.28626298582429177	1.0243023668550135e+21
F571-8	2.4599026206242898	3.2889141223816348e+19
UGC06917	0.3773674579501923	7.367550784343227e+19
NGC4559	1.1310238739361913	7.305097922641358e+19
NGC0100	0.5505081523280594	3.9694117466418864e+19
UGC08286	0.19889993208439025	4.562322110749708e+19
UGC04483	0.0862110011072563	6.814823736102723e+18
NGC0891	8.739273105207284	6.4201490742471655e+19
NGC5985	1.123942242812039	2.5095642310068385e+20
NGC3521	12.594874673069056	4.188751834595654e+19
ESO116-G012	0.5053695069774596	5.1839487889502134e+19
IC2574	0.09834695595739659	5.196410737167453e+21
UGC02885	1.6593634122421703	2.5036357134019628e+20
UGC06787	1.0587635492248417	1.190427115683872e+20
F574-1	0.8180204791180982	3.349014931251734e+19
UGC06614	0.2786145862159355	2.679947230813961e+20
NGC0055	0.11174122107125618	1.1046938769075146e+20
KK98-251	0.07884217616652987	1.2070094974269209e+19
UGC05829	0.03969932896458689	7.012041731929555e+19
UGC08837	0.07750613244621188	5.757534977011293e+19
UGC07577	0.03702743224472648	2.867667918155351e+19
UGCA444	0.039515092055704415	4.4122083394083614e+21
UGC05005	0.11440012217428157	1.0626912672710766e+20
UGC06818	0.23652808789146682	4.6255062579637305e+19
UGC05986	0.5160384550098933	5.558136048075116e+19
UGC07151	0.37695638539121906	4.1579764509589316e+19
UGC05750	0.05392770433354136	1.590213228384829e+20
UGC00191	0.2296008228937049	5.147620307558739e+19
F583-4	0.1377578914142826	6.892037294751926e+19
UGC11557	0.5906286491792824	8.644962856999322e+19
NGC3893	5.609733723395293	5.507579009441276e+19
UGC00128	0.12641373616776924	1.7024434383247688e+20
UGC00891	0.11291757168421399	2.9539711742013264e+19
UGC05918	0.12845956179281937	3.764399588026622e+21
IC4202	0.9915125882516275	2.442930169621681e+20
DDO154	0.08969441253940684	1.657008861261595e+19
NGC3992	1.7831049185026695	2.012826541453033e+20
UGC07559	0.08215861613773275	2.157346623293947e+19
UGC07866	0.0800333798979244	2.275073446699745e+19
NGC2955	2.4857884088598072	1.633375504609182e+20
NGC0801	6.982044404231835	1.0625788234091006e+20
UGC03205	1.85193478507682	1.3260490567966209e+20
UGC02953	5.095261561696749	1.183756302894406e+20
UGC11914	4.726178821034111	8.236552412598067e+19
UGC10310	0.1455854497429688	6.615828516670665e+19
UGC02259	0.18085785481691405	5.656285487892463e+19
UGC11455	2.842764764692082	2.0921371576040148e+20
UGC12632	0.07090388385917018	7.825404692362587e+19
NGC1090	1.6947541050299657	1.142251304600251e+20
CamB	0.06547173672826007	2.317122293619087e+19
UGC05721	0.9981022811630493	1.2674985691676715e+19
UGC02487	82.55846654330522	3.147450911970829e+19
F568-3	0.12811362431053308	1.366332936169115e+20
UGC11820	0.3110027423909871	3.074013112203839e+19
DDO161	0.12043788947870046	3.7226749929809764e+19
NGC2998	2.584846777237859	1.3049687029670547e+20
UGC04278	0.28626298582429177	3.3506403899210777e+19
UGCA442	0.02517903313542428	4.296064659938494e+19
NGC2903	11.372026948459604	4.609443424020524e+19
UGC06399	0.18061923262907825	6.764024680436989e+19
NGC5371	3.3523675662176466	1.75711712236018e+20
UGC06786	1.4799600817813594	1.1038948064822269e+20
NGC0247	1.99877513114459	1.9997618349181546e+19
UGC05253	1.3415931383374529	1.510483102065761e+20
NGC6503	2.774662873996677	3.742467370541466e+19
NGC5005	6.042894223976366	8.609196093798932e+19
F568-V1	1.1715568855684015	2.2772300551406293e+19
NGC4217	0.445698774348736	1.1835237154945137e+20
NGC2683	4.248215667648541	7.403076730942023e+19
UGC07323	0.2827501603342992	8.098257490747243e+19
UGC02916	0.40209674263062384	2.0535013103700158e+20
