Galaxy	Rd
UGC03546	1.1122963487164713e+20
UGC05764	4.337348247835531e+19
DDO168	3.600238825925971e+19
NGC5055	1.6204478403075188e+20
F565-V2	8.035030767002829e+19
UGC04499	7.957473531885656e+19
NGC4088	1.0018079047033325e+20
NGC4183	6.35404392225292e+19
NGC3949	3.6632363784476944e+20
NGC6674	2.894695482979435e+20
NGC5033	2.0327107278362644e+20
NGC3953	2.5037659387873565e+20
NGC6946	1.2401346023016741e+20
UGC09037	1.1424498078058735e+20
NGC3741	3.802044873564314e+20
NGC2976	5.456812737373995e+19
NGC0024	1.2252622176644922e+20
UGC05716	4.9171508070649056e+20
NGC4085	3.9708447915046445e+19
UGC07524	9.710033891804676e+19
NGC6015	1.4435160700427885e+20
UGC08490	1.8611455210281776e+20
NGC3877	1.692743303809451e+20
NGC2841	5.0805497928397573e+20
NGC7793	8.168955880581593e+19
UGC07125	6.587488036620122e+20
NGC7331	2.0819797490697686e+20
UGC03580	3.722293653697863e+20
UGC06930	1.2245569062942892e+20
UGC07399	3.492602932698537e+20
UGC12506	1.8703606970963257e+20
UGC06446	7.3682869022308475e+19
UGC08550	6.34552766720042e+20
UGC07690	3.5950384528986325e+19
NGC4010	5.259007689993637e+20
ESO563-G021	2.189805830785938e+20
NGC4051	4.148737751471238e+20
F571-V1	2.7936421145736043e+20
DDO064	4.112937828653002e+19
UGC08699	3.151847242800875e+20
NGC4138	1.9439591336510377e+20
ESO444-G084	2.9556163189657685e+20
NGC3769	1.7704060233890873e+20
NGC7814	4.078940337781345e+20
UGC06667	1.4431257346317417e+20
NGC6195	3.57118386462276e+20
NGC3198	2.494623375978532e+20
UGC07261	2.2694901899003016e+20
NGC5585	1.9276608869710342e+20
NGC4013	8.456581038227648e+19
UGC06983	1.2395052215370293e+20
UGC07603	3.451223780713062e+20
NGC3972	2.1873550773317006e+20
UGC05414	1.2904436990708942e+20
NGC0289	3.2196489312115045e+20
NGC2915	3.5379644152140595e+20
NGC0300	2.4522715457080194e+20
UGC00731	2.786902911772818e+20
UGC12732	1.4080218425361726e+20
NGC4157	3.183969522609344e+20
UGC09133	4.7450453631903007e+20
UGC06923	3.012621927064682e+20
NGC4100	1.5803306846407436e+20
NGC3109	4.793947651756974e+20
UGC07089	3.4547611933970884e+20
DDO170	6.545502047451776e+20
UGC09992	1.7425460544933547e+20
NGC4068	4.36019886233389e+20
F571-8	8.260844669103377e+20
UGC06917	4.1544372272421745e+20
NGC4559	1.0512892391848018e+20
NGC0100	1.900866985756642e+20
UGC08286	3.576050930410956e+20
UGC04483	1.0939493697107336e+20
NGC0891	1.517742651860993e+20
NGC5985	1.4398161645403393e+20
NGC3521	9.923960426496105e+19
ESO116-G012	4.612610291818199e+20
IC2574	9.372318263086782e+20
UGC02885	5.455524519467104e+20
UGC06787	5.160885556726133e+20
F574-1	5.397554618632673e+20
UGC06614	3.731180013205885e+20
NGC0055	1.819777664255649e+20
KK98-251	1.177029300468073e+20
UGC05829	3.789038490483773e+19
UGC08837	1.2877354185356629e+20
UGC07577	2.562866413633497e+20
UGCA444	3.704064032623414e+20
UGC05005	1.3144756667831994e+20
UGC06818	1.7731654676165237e+20
UGC05986	8.436736420710787e+19
UGC07151	1.113663808609147e+20
UGC05750	7.533526414224631e+19
UGC00191	1.0342694702698557e+20
F583-4	1.28005686133712e+20
UGC11557	2.174954347312346e+20
NGC3893	7.103924768488402e+19
UGC00128	2.2356822802862398e+20
UGC00891	6.001235611943802e+20
UGC05918	1.629388648261729e+20
IC4202	2.5511599289336064e+20
DDO154	3.386386737658683e+20
NGC3992	2.0962919781984377e+20
UGC07559	1.7468903036125816e+20
UGC07866	1.2203269352520124e+20
NGC2955	1.7647487563945558e+20
NGC0801	2.442275821622467e+20
UGC03205	1.875422512960553e+20
UGC02953	4.0861465216102806e+20
UGC11914	1.3847813826783388e+20
UGC10310	1.3140051170105049e+20
UGC02259	9.873192639265492e+19
UGC11455	1.8765881883842576e+20
UGC12632	1.8013940387845095e+20
NGC1090	1.3104130003591984e+20
CamB	3.5472479212025364e+19
UGC05721	4.2748390527378825e+19
UGC02487	2.500625936578606e+20
F568-3	9.045988996864478e+19
UGC11820	8.88028613366751e+19
DDO161	7.0252155279846154e+19
NGC2998	1.5001182106341864e+20
UGC04278	2.3892629608478723e+20
UGCA442	4.872531023353482e+19
NGC2903	6.895764456390822e+20
UGC06399	7.120552059130053e+20
NGC5371	1.7022633318861904e+20
UGC06786	1.903132975884883e+20
NGC0247	4.7268475189341356e+20
UGC05253	2.6703376058983845e+20
NGC6503	1.9650539085505675e+20
NGC5005	2.8573374404610064e+19
F568-V1	8.653268428485258e+20
NGC4217	1.5038678767259766e+20
NGC2683	4.218577959369074e+20
UGC07323	6.185037896477341e+19
UGC02916	7.0115746876550504e+19
